0.464	0.464	1
0.813	0.813	2
1.126	1.126	3
1.440	1.440	1
1.741	1.741	2
2.078	2.078	3
2.426	2.426	1
2.752	2.752	2
3.065	3.065	3
3.402	3.402	1
3.738	3.738	2
4.052	4.052	3
4.389	4.389	1
4.714	4.714	2
5.039	5.039	3
5.364	5.364	1
5.689	5.689	2
6.014	6.014	3
6.339	6.339	1
6.676	6.676	2
7.012	7.012	3
7.338	7.338	1
7.663	7.663	2
7.988	7.988	3
8.313	8.313	1
8.649	8.649	2
8.974	8.974	3
9.300	9.300	1
9.625	9.625	2
9.950	9.950	3
10.286	10.286	1
10.623	10.623	2
10.960	10.960	3
11.297	11.297	1
11.610	11.610	2
11.935	11.935	3
12.272	12.272	1
12.597	12.597	2
12.922	12.922	3
13.247	13.247	1
13.572	13.572	2
13.909	13.909	3
14.245	14.245	1
14.582	14.582	2
14.880	14.880	3
15.234	15.234	1
15.590	15.590	2
15.888	15.888	3
16.230	16.230	1
16.582	16.582	2
16.912	16.912	3
17.232	17.232	1
17.551	17.551	2
17.882	17.882	3
18.190	18.190	1
18.497	18.497	2
18.823	18.823	3
19.136	19.136	1
19.485	19.485	2
19.802	19.802	3
20.141	20.141	1
20.480	20.480	2
20.811	20.811	3
21.141	21.141	1
21.446	21.446	2
21.777	21.777	3
22.108	22.108	1
22.419	22.419	2
22.734	22.734	3
23.059	23.059	1
23.427	23.427	2
23.730	23.730	3
24.067	24.067	1
24.378	24.378	2
24.707	24.707	3
25.020	25.020	1
25.353	25.353	2
25.673	25.673	3
26.020	26.020	1
26.358	26.358	2
26.717	26.717	3
27.012	27.012	1
27.331	27.331	2
27.640	27.640	3
27.965	27.965	1
28.320	28.320	2
28.656	28.656	3
29.007	29.007	1
29.339	29.339	2
29.685	29.685	3
30.032	30.032	1
30.339	30.339	2
30.661	30.661	3
31.002	31.002	1
31.328	31.328	2
31.680	31.680	3
32.038	32.038	1
32.378	32.378	2
32.697	32.697	3
33.007	33.007	1
33.383	33.383	2
33.692	33.692	3
34.038	34.038	1
34.387	34.387	2
34.740	34.740	3
35.073	35.073	1
35.388	35.388	2
35.737	35.737	3
36.086	36.086	1
36.395	36.395	2
36.725	36.725	3
37.040	37.040	1
37.381	37.381	2
37.695	37.695	3
38.032	38.032	1
38.345	38.345	2
38.662	38.662	3
38.977	38.977	1
39.346	39.346	2
39.714	39.714	3
40.031	40.031	1
40.334	40.334	2
40.660	40.660	3
41.008	41.008	1
41.352	41.352	2
41.677	41.677	3
41.999	41.999	1
42.350	42.350	2
42.703	42.703	3
43.033	43.033	1
43.334	43.334	2
43.672	43.672	3
43.998	43.998	1
44.307	44.307	2
44.629	44.629	3
44.954	44.954	1
45.296	45.296	2
45.606	45.606	3
45.935	45.935	1
46.300	46.300	2
46.630	46.630	3
46.945	46.945	1
47.292	47.292	2
47.653	47.653	3
47.949	47.949	1
48.263	48.263	2
48.623	48.623	3
48.982	48.982	1
49.308	49.308	2
49.633	49.633	3
49.969	49.969	1
50.306	50.306	2
50.643	50.643	3
50.979	50.979	1
51.316	51.316	2
51.653	51.653	3
51.989	51.989	1
52.315	52.315	2
52.640	52.640	3
52.976	52.976	1
53.313	53.313	2
53.650	53.650	3
53.998	53.998	1
54.335	54.335	2
54.660	54.660	3
54.996	54.996	1
55.333	55.333	2
55.658	55.658	3
55.995	55.995	1
56.320	56.320	2
56.657	56.657	3
56.993	56.993	1
57.330	57.330	2
57.667	57.667	3
58.015	58.015	1
58.352	58.352	2
58.688	58.688	3
59.037	59.037	1
59.373	59.373	2
59.710	59.710	3
60.058	60.058	1
60.383	60.383	2
60.720	60.720	3
61.057	61.057	1
61.394	61.394	2
61.730	61.730	3
62.079	62.079	1
62.427	62.427	2
62.764	62.764	3
63.112	63.112	1
63.449	63.449	2
63.797	63.797	3
64.134	64.134	1
64.470	64.470	2
