61.600000000	1
62.057142857	2
62.518072562	3
62.982063492	4
63.438344671	1
63.870022675	2
64.325895691	3
64.725963718	4
65.157709750	1
65.616213151	2
66.069977324	3
66.533219954	4
66.989863945	1
67.494036281	2
67.982040816	3
68.454104308	4
68.876190476	1
69.346303854	2
69.781814058	3
70.205986394	4
70.667052154	1
71.101609977	2
71.586326530	3
72.067074829	4
72.510453514	1
72.981315192	2
73.429977324	3
73.853877551	4
74.288367346	1
74.765918367	2
75.222743764	3
75.686009070	4
76.178276643	1
76.654013605	2
77.110362811	3
77.573968253	4
78.021904761	1
78.454013605	2
78.887913832	3
79.373900226	4
79.836326530	1
80.277936507	2
80.723877551	3
81.134988662	4
81.597936507	1
82.037913832	2
82.509977324	3
82.957392290	4
83.427981859	1
83.910000000	2
84.398049886	3
84.851700680	4
85.255102040	1
85.693968253	2
86.109773242	3
86.569047619	4
87.017868480	1
87.494263038	2
87.969387755	3
88.477981859	4
88.925963718	1
89.381768707	2
89.789909297	3
90.198594104	4
90.621950113	1
91.149931972	2
91.602721088	3
92.067120181	4
92.531519274	1
92.995918367	2
93.448707482	3
93.913106575	4
94.365895691	1
94.818684807	2
95.271473922	3
95.735873015	4
96.200272108	1
96.641451247	2
97.105850340	3
97.570249433	4
98.023038548	1
98.475827664	2
98.928616780	3
99.381405895	4
99.822585034	1
100.275374149	2
100.716553287	3
101.157732426	4
101.598911564	1
102.051700680	2
102.504489795	3
102.957278911	4
103.410068027	1
103.862857142	2
104.327256235	3
104.780045351	4
105.232834467	1
105.697233560	2
106.150022675	3
106.602811791	4
107.055600907	1
107.520000000	2
107.984399092	3
108.437188208	4
108.889977324	1
109.354376417	2
109.807165532	3
110.248344671	4
110.701133786	1
111.153922902	2
111.606712018	3
112.059501133	4
112.523900226	1
112.976689342	2
113.429478458	3
113.882267573	4
114.335056689	1
114.787845804	2
115.240634920	3
115.693424036	4
116.146213151	1
116.599002267	2
117.051791383	3
117.504580498	4
117.957369614	1
118.421768707	2
118.874557823	3
119.327346938	4
119.780136054	1
120.244535147	2
120.708934240	3
121.161723356	4
121.626122448	1
122.078911564	2
122.531700680	3
122.984489795	4
123.437278911	1
123.890068027	2
124.342857142	3
124.795646258	4
125.248435374	1
125.701224489	2
126.154013605	3
126.595192743	4
127.036371882	1
127.489160997	2
127.953560090	3
128.417959183	4
128.882358276	1
129.335147392	2
129.787936507	3
130.240725623	4
130.693514739	1
131.146303854	2
131.599092970	3
132.051882086	4
132.504671201	1
132.969070294	2
133.433469387	3
133.897868480	4
134.362267573	1
134.826666666	2
135.279455782	3
135.732244897	4
136.185034013	1
136.637823129	2
137.090612244	3
137.543401360	4
137.996190476	1
138.448979591	2
138.901768707	3
139.354557823	4
139.807346938	1
140.260136054	2
140.701315192	3
141.154104308	4
141.606893424	1
142.059682539	2
142.500861678	3
142.953650793	4
143.406439909	1
143.859229024	2
144.312018140	3
144.764807256	4
145.217596371	1
145.681995464	2
146.134784580	3
146.587573696	4
147.040362811	1
147.493151927	2
147.945941043	3
148.410340136	4
148.874739229	1
149.339138321	2
149.803537414	3
150.267936507	4
150.720725623	1
151.173514739	2
151.626303854	3
152.079092970	4
152.531882086	1
152.984671201	2
153.437460317	3
153.890249433	4
154.343038548	1
154.795827664	2
155.248616780	3
155.689795918	4
156.142585034	1
156.595374149	2
157.048163265	3
157.500952380	4
157.953741496	1
158.406530612	2
158.870929705	3
159.323718820	4
159.776507936	1
160.229297052	2
160.682086167	3
161.146485260	4
161.599274376	1
162.052063492	2
162.504852607	3
162.957641723	4
163.398820861	1
